split,RMSE_LSTM,R2 Score_LSTM,Adj R2 Score_LSTM,RMSE_GRU,R2 Score_GRU,Adj R2 Score_GRU
Train,0.5755068545707985,0.9838946081293988,0.983859596407941,0.3004181515665344,0.9956114345107433,0.995601894150984
Test,0.7772725901788634,0.8007229071703655,0.7919826838006447,0.44369282555624956,0.9350655072136421,0.932217503144065
