name,lstm_time,gru_time
1301.TW,7.1679863929748535,3.6055774688720703
1303.TW,4.542290449142456,3.5575602054595947
1304.TW,4.6080641746521,3.461466073989868
1305.TW,4.509877920150757,3.5347931385040283
1308.TW,4.617891788482666,3.4854848384857178
1309.TW,4.4414732456207275,3.5866310596466064
1312.TW,4.4382240772247314,3.5219082832336426
1313.TW,4.5720438957214355,3.519608974456787
1314.TW,4.4205052852630615,3.4566054344177246
1326.TW,4.45667576789856,3.496398687362671
2002.TW,4.585328817367554,3.503992795944214
2006.TW,4.435033559799194,3.5013809204101562
2010.TW,4.454005718231201,3.458512306213379
2014.TW,4.450356721878052,3.538780450820923
2023.TW,4.744721412658691,3.492421865463257
2027.TW,4.493084907531738,3.5344059467315674
2028.TW,4.447474241256714,3.4881591796875
2030.TW,4.455443382263184,3.466679096221924
2031.TW,4.456732273101807,3.4864237308502197
2038.TW,4.485106945037842,3.4842536449432373
2603.TW,4.465633869171143,3.5861661434173584
2605.TW,4.520415782928467,3.5112624168395996
2606.TW,4.494365215301514,3.483274221420288
2609.TW,4.521043539047241,3.4876599311828613
2615.TW,4.469843626022339,3.7674951553344727
2617.TW,4.479452133178711,3.4820189476013184
2636.TW,4.460961818695068,3.473324775695801
2637.TW,4.523397445678711,3.590641975402832
5608.TW,4.773494005203247,3.516641139984131
5609.TWO,4.53446364402771,3.47481369972229
