name,modelname,split,RMSE,R2 Score,Adj R2 Score,time
2603.TW,LSTM,Train,0.47764820185685936,0.9711691472495086,0.9710308999172265,7.314106702804565
2603.TW,LSTM,Test,30.700615156639675,0.3015490852605107,0.23041056616667388,7.314106702804565
2603.TW,GRU,Train,0.40160361053564964,0.9796184873772471,0.9795207556253507,3.4717321395874023
2603.TW,GRU,Test,18.570235262249977,0.7444496085559291,0.7184213279458849,3.4717321395874023
2605.TW,LSTM,Train,0.30094688363265626,0.9845625539346714,0.9844885295638264,4.520869731903076
2605.TW,LSTM,Test,3.116250415959581,0.7705187408580056,0.7471456496490988,4.520869731903076
2605.TW,GRU,Train,0.28820984325608107,0.985841624830819,0.9857737337554655,3.6768581867218018
2605.TW,GRU,Test,2.1430790332171012,0.8914677297945233,0.8804135170884099,3.6768581867218018
2606.TW,LSTM,Train,0.5070447252831092,0.9892002070247288,0.9891484207462946,4.49512505531311
2606.TW,LSTM,Test,4.248576655183557,0.9102279857504979,0.9010845398547153,4.49512505531311
2606.TW,GRU,Train,0.5117425403451947,0.9889991580214357,0.9889464076893676,3.600863456726074
2606.TW,GRU,Test,4.429727328758884,0.9024093947877871,0.8924696109235802,3.600863456726074
2609.TW,LSTM,Train,0.6356763204976065,0.9953021822821454,0.9952796556932629,4.6057751178741455
2609.TW,LSTM,Test,21.356177179236397,0.7297970207626494,0.7022763469514377,4.6057751178741455
2609.TW,GRU,Train,0.6165604605160067,0.9955804768304485,0.9955592846966799,3.6427578926086426
2609.TW,GRU,Test,13.06671746172731,0.898847609878568,0.8885450516254593,3.6427578926086426
2615.TW,LSTM,Train,0.5118314895489019,0.9887895197323955,0.9887357641600574,4.261475324630737
2615.TW,LSTM,Test,52.069329627820494,0.2702749628876997,0.19595111651515063,4.261475324630737
2615.TW,GRU,Train,0.568922229512045,0.9861491617526676,0.986082745353051,3.624588966369629
2615.TW,GRU,Test,31.65854720039825,0.7302401733419863,0.702764635441633,3.624588966369629
2617.TW,LSTM,Train,0.28854696593714646,0.9931089082049316,0.9930758646087041,4.564476728439331
2617.TW,LSTM,Test,4.49322741869454,0.8650526586070285,0.8513080219836703,4.564476728439331
2617.TW,GRU,Train,0.3080482248368125,0.9921459729283704,0.9921083119441559,3.6333343982696533
2617.TW,GRU,Test,4.267539017626877,0.8782686235390843,0.8658700574180651,3.6333343982696533
2636.TW,LSTM,Train,0.504724385475534,0.992118918585529,0.9920811278725564,4.687243700027466
2636.TW,LSTM,Test,34.692748406434845,0.4488100030624581,0.39267028115215286,4.687243700027466
2636.TW,GRU,Train,0.5431643346451809,0.9908727552793685,0.9908289890666715,3.6760306358337402
2636.TW,GRU,Test,20.611081507485316,0.8054525851286851,0.7856375706510512,3.6760306358337402
2637.TW,LSTM,Train,0.3454919913870851,0.9808327922367149,0.9807408832195413,4.495029449462891
2637.TW,LSTM,Test,12.772089354506262,0.6732901242455226,0.6400141183816406,4.495029449462891
2637.TW,GRU,Train,0.328474857372622,0.9826744453897762,0.9825913673162311,3.467083215713501
2637.TW,GRU,Test,9.813400324440778,0.807124368663134,0.7874796284343791,3.467083215713501
5608.TW,LSTM,Train,0.38455624377863784,0.99831981882628,0.9983117621597974,4.276532888412476
5608.TW,LSTM,Test,2.902691539191151,0.9595730727583401,0.955455515354097,4.276532888412476
5608.TW,GRU,Train,0.35552181644268377,0.9985639523466606,0.9985570663291424,3.4803261756896973
5608.TW,GRU,Test,2.390156120244928,0.9725892125682527,0.9697973731076118,3.4803261756896973
5609.TWO,LSTM,Train,0.4615277213060455,0.9976284118189223,0.997617039774462,4.4270970821380615
5609.TWO,LSTM,Test,8.516076984134598,0.8705545444883751,0.8573702851307096,4.4270970821380615
5609.TWO,GRU,Train,0.4736993487313553,0.9975016731407412,0.9974896933694022,3.3779654502868652
5609.TWO,GRU,Test,11.712626004024727,0.755140927312547,0.7302015773166027,3.3779654502868652
