name,lstm_time,gru_time
1301.TW,16.665876865386963,3.3895485401153564
1303.TW,4.159392356872559,3.341480016708374
1304.TW,4.34107780456543,3.530684232711792
1305.TW,4.456258773803711,3.666900157928467
1308.TW,4.493896007537842,3.6926705837249756
1309.TW,4.277412414550781,3.3566677570343018
1312.TW,4.37513279914856,3.3365907669067383
1313.TW,4.168565988540649,3.4988131523132324
1314.TW,4.2119221687316895,3.3246166706085205
1326.TW,4.3473193645477295,3.3509445190429688
2002.TW,4.2872185707092285,3.583984851837158
2006.TW,4.430975914001465,3.55204176902771
2010.TW,4.59881591796875,3.564366340637207
2014.TW,4.347874641418457,3.471087694168091
2023.TW,4.256788730621338,3.365870475769043
2027.TW,4.307146072387695,3.399393081665039
2028.TW,4.196320295333862,3.3301315307617188
2030.TW,4.537200450897217,3.343785524368286
2031.TW,4.310044050216675,3.5997369289398193
2038.TW,4.52876615524292,3.6888163089752197
2603.TW,4.479305028915405,3.590879440307617
2605.TW,4.38400411605835,3.4361331462860107
2606.TW,4.254925966262817,3.435636043548584
2609.TW,4.29971981048584,3.4134111404418945
2615.TW,4.240944147109985,3.382033348083496
2617.TW,4.26675820350647,3.4013004302978516
2636.TW,4.317457675933838,3.7521591186523438
2637.TW,4.498922824859619,3.5911526679992676
5608.TW,4.539854526519775,3.5958778858184814
5609.TWO,4.363622426986694,3.8532471656799316
