name,lstm_time,gru_time
1301.TW,17.63678002357483,3.351257085800171
1303.TW,4.228341341018677,3.573032855987549
1304.TW,4.580962419509888,3.6359121799468994
1305.TW,4.672119617462158,3.6938486099243164
1308.TW,4.577639818191528,3.4987294673919678
1309.TW,4.211575031280518,3.619232416152954
1312.TW,4.781216144561768,3.639599084854126
1313.TW,4.717541933059692,3.6675307750701904
1314.TW,4.556720018386841,3.352325439453125
1326.TW,4.417469263076782,3.501605987548828
2002.TW,3.955862045288086,3.289397716522217
2006.TW,3.9301767349243164,3.212207555770874
2010.TW,3.9926345348358154,3.2238054275512695
2014.TW,3.9649789333343506,3.3806111812591553
2023.TW,4.196181297302246,3.503166913986206
2027.TW,4.182958602905273,3.4308836460113525
2028.TW,4.1825761795043945,3.488410234451294
2030.TW,3.9190385341644287,3.5276122093200684
2031.TW,3.99969482421875,3.268717050552368
2038.TW,3.88582181930542,3.3373117446899414
2603.TW,4.281709909439087,3.4341039657592773
2605.TW,4.384965658187866,3.5102012157440186
2606.TW,4.662524223327637,3.7041990756988525
2609.TW,4.9448771476745605,3.7255427837371826
2615.TW,4.520748138427734,3.613290548324585
2617.TW,4.406354188919067,3.370527505874634
2636.TW,4.335667610168457,3.412346363067627
2637.TW,4.296011447906494,3.39658784866333
5608.TW,4.274237394332886,3.3764426708221436
5609.TWO,4.2231285572052,3.8858845233917236
