name,lstm_time,gru_time
1301.TW,17.378663063049316,5.135878086090088
1303.TW,6.9571003913879395,5.24535870552063
1304.TW,7.026867628097534,5.230145454406738
1305.TW,6.982568025588989,5.366304397583008
1308.TW,7.156144142150879,5.297862768173218
1309.TW,7.061526298522949,5.286574363708496
1312.TW,7.203751087188721,5.287994861602783
1313.TW,7.098153591156006,5.268925428390503
1314.TW,6.996948003768921,5.362312316894531
1326.TW,7.314903736114502,5.2552289962768555
2002.TW,7.006400108337402,5.372812509536743
2006.TW,7.086992263793945,5.254936933517456
2010.TW,7.058533191680908,5.5341479778289795
2014.TW,7.081782341003418,5.3172690868377686
2023.TW,7.062867164611816,5.273430824279785
2027.TW,7.109500885009766,5.228201150894165
2028.TW,7.0937488079071045,5.2695839405059814
2030.TW,7.399733304977417,5.339174270629883
2031.TW,7.0647759437561035,5.270718812942505
2038.TW,7.123133659362793,5.238034963607788
2603.TW,7.073196887969971,5.312505006790161
2605.TW,7.121262073516846,5.2855064868927
2606.TW,7.166988134384155,5.723552703857422
2609.TW,7.191985607147217,5.332788944244385
2615.TW,7.07219386100769,5.3109965324401855
2617.TW,7.088163614273071,5.294007062911987
2636.TW,7.216724872589111,5.275537967681885
2637.TW,7.099897623062134,5.462037801742554
5608.TW,7.1456263065338135,5.3095502853393555
5609.TWO,7.149826526641846,5.794785261154175
