name,lstm_time,gru_time
1301.TW,18.874626636505127,6.165015459060669
1303.TW,8.28965163230896,6.324420213699341
1304.TW,8.247852563858032,6.329400539398193
1305.TW,8.278538227081299,6.384273052215576
1308.TW,8.242529153823853,6.3549792766571045
1309.TW,8.324805736541748,6.3328986167907715
1312.TW,8.423698425292969,6.294146299362183
1313.TW,8.29891324043274,6.3936357498168945
1314.TW,8.320220947265625,6.327075481414795
1326.TW,8.523522853851318,6.238859176635742
2002.TW,8.244948148727417,6.300561189651489
2006.TW,8.203383922576904,6.172863721847534
2010.TW,8.382250547409058,6.245114088058472
2014.TW,8.308532476425171,6.234567165374756
2023.TW,8.272905588150024,6.295839548110962
2027.TW,8.272993087768555,6.26615047454834
2028.TW,8.272179126739502,6.268706560134888
2030.TW,8.642141819000244,6.371037006378174
2031.TW,8.24625039100647,6.377114295959473
2038.TW,8.24879765510559,6.329596042633057
2603.TW,8.229555606842041,6.319377422332764
2605.TW,8.365559101104736,6.39720892906189
2606.TW,8.319879531860352,6.3248608112335205
2609.TW,8.305411100387573,6.2050864696502686
2615.TW,8.21275019645691,6.226290464401245
2617.TW,8.328724384307861,6.3689634799957275
2636.TW,8.310019731521606,6.228322744369507
2637.TW,8.280259132385254,6.379216909408569
5608.TW,8.295672416687012,6.351668357849121
5609.TWO,8.274792194366455,6.853378534317017
