Date,Price,Open,High,Low,Vol.,Change %
2020-09-23,"14,400.00","14,710.00","14,710.00","14,335.00",-,-1.23%
2020-09-22,"14,580.00","14,542.50","14,685.00","14,472.50",-,0.22%
2020-09-21,"14,547.50","14,907.50","15,005.00","14,305.00",-,-2.04%
2020-09-18,"14,850.00","15,115.00","15,200.00","14,810.00",-,-1.70%
2020-09-17,"15,107.50","15,205.00","15,205.00","14,855.00",-,-0.66%
2020-09-16,"15,207.50","15,245.00","15,305.00","15,077.50",-,-0.25%
2020-09-15,"15,245.00","15,282.50","15,367.50","15,137.50",-,-0.15%
2020-09-14,"15,267.50","15,087.50","15,310.00","15,072.50",-,1.04%
2020-09-11,"15,110.00","14,770.00","15,142.50","14,642.50",-,2.09%
2020-09-10,"14,800.00","14,910.00","14,977.50","14,732.50",-,-0.85%
2020-09-09,"14,927.50","14,902.50","14,967.50","14,732.50",-,-0.08%
2020-09-08,"14,940.00","15,195.00","15,310.00","14,682.50",-,-1.74%
2020-09-07,"15,205.00","15,280.00","15,410.00","15,162.50",-,-0.77%
2020-09-04,"15,322.50","15,065.00","15,327.50","14,987.50",-,1.64%
2020-09-03,"15,075.00","15,712.50","15,812.50","15,015.00",-,-4.01%
2020-09-02,"15,705.00","15,562.50","15,717.50","15,487.50",-,1.11%
2020-09-01,"15,532.50","15,445.00","15,742.50","15,420.00",-,1.34%
2020-08-28,"15,327.50","15,135.00","15,500.00","15,130.00",-,1.22%
2020-08-27,"15,142.50","15,182.50","15,257.50","15,060.00",-,-0.35%
2020-08-26,"15,195.00","14,970.00","15,202.50","14,970.00",-,1.32%
2020-08-25,"14,997.50","14,885.00","15,007.50","14,805.00",-,0.59%
2020-08-24,"14,910.00","14,740.00","14,942.50","14,735.00",-,1.03%
2020-08-21,"14,757.50","14,637.50","14,767.50","14,560.00",-,0.89%
2020-08-20,"14,627.50","14,625.00","14,792.50","14,472.50",-,-0.09%
2020-08-19,"14,640.00","14,715.00","14,842.50","14,617.50",-,-0.63%
2020-08-18,"14,732.50","14,617.50","14,792.50","14,550.00",-,0.75%
2020-08-17,"14,622.50","14,355.00","14,697.50","14,355.00",-,1.63%
2020-08-14,"14,387.50","14,072.50","14,427.50","14,045.00",-,2.48%
2020-08-13,"14,040.00","14,202.50","14,280.00","14,025.00",-,-1.35%
2020-08-12,"14,232.50","14,327.50","14,352.50","14,000.00",-,-0.77%
2020-08-11,"14,342.50","14,245.00","14,370.00","14,092.50",-,0.83%
2020-08-10,"14,225.00","14,355.00","14,390.00","14,082.50",-,-0.91%
2020-08-07,"14,355.00","14,445.00","14,535.00","14,255.00",-,-0.66%
2020-08-06,"14,450.00","14,310.00","14,647.50","14,275.00",-,1.28%
2020-08-05,"14,267.50","14,045.00","14,637.50","14,012.50",-,1.95%
2020-08-04,"13,995.00","13,945.00","14,132.50","13,867.50",-,0.29%
2020-08-03,"13,955.00","13,795.00","14,022.50","13,607.50",-,1.40%
2020-07-31,"13,762.50","13,792.50","13,905.00","13,680.00",-,-0.24%
2020-07-30,"13,795.00","13,900.00","13,987.50","13,585.00",-,-0.83%
2020-07-29,"13,910.00","13,675.00","13,917.50","13,640.00",-,1.57%
2020-07-28,"13,695.00","13,782.50","13,992.50","13,512.50",-,-0.71%
2020-07-27,"13,792.50","13,655.00","13,862.50","13,637.50",-,1.25%
2020-07-24,"13,622.50","13,682.50","13,782.50","13,310.00",-,-0.46%
2020-07-23,"13,685.00","13,107.50","13,702.50","13,077.50",-,4.65%
2020-07-22,"13,077.50","13,430.00","13,597.50","13,072.50",-,-2.84%
2020-07-21,"13,460.00","13,225.00","13,502.50","13,177.50",-,2.05%
2020-07-20,"13,190.00","13,152.50","13,352.50","13,072.50",-,0.53%
2020-07-17,"13,120.00","13,425.00","13,447.50","13,090.00",-,-2.03%
2020-07-16,"13,392.50","13,522.50","13,532.50","13,210.00",-,-1.09%
2020-07-15,"13,540.00","13,622.50","13,642.50","13,342.50",-,-0.40%
2020-07-14,"13,595.00","13,627.50","13,670.00","13,387.50",-,-0.91%
2020-07-13,"13,720.00","13,540.00","13,722.50","13,482.50",-,1.25%
2020-07-10,"13,550.00","13,225.00","13,562.50","13,047.50",-,2.63%
2020-07-09,"13,202.50","13,452.50","13,545.00","13,157.50",-,-2.06%
2020-07-08,"13,480.00","13,382.50","13,497.50","13,347.50",-,0.62%
2020-07-07,"13,397.50","13,375.00","13,482.50","13,260.00",-,0.02%
2020-07-06,"13,395.00","12,955.00","13,397.50","12,955.00",-,3.28%
2020-07-03,"12,970.00","12,927.50","13,127.50","12,907.50",-,0.31%
2020-07-02,"12,930.00","12,860.00","12,965.00","12,782.50",-,0.56%
2020-07-01,"12,857.50","12,815.00","12,877.50","12,607.50",-,0.47%
2020-06-30,"12,797.50","12,812.50","12,880.00","12,732.50",-,0.12%
2020-06-29,"12,782.50","12,695.00","12,830.00","12,565.00",-,0.91%
2020-06-26,"12,667.50","12,490.00","12,807.50","12,490.00",-,1.52%
2020-06-25,"12,477.50","12,520.00","12,557.50","12,427.50",-,-0.30%
2020-06-24,"12,515.00","12,685.00","12,750.00","12,507.50",-,-1.40%
2020-06-23,"12,692.50","12,645.00","12,742.50","12,527.50",-,0.51%
2020-06-22,"12,627.50","12,755.00","12,817.50","12,622.50",-,-0.94%
2020-06-19,"12,747.50","12,905.00","13,017.50","12,722.50",-,-1.18%
2020-06-18,"12,900.00","12,865.00","12,952.50","12,762.50",-,0.51%
2020-06-17,"12,835.00","13,010.00","13,037.50","12,812.50",-,-1.48%
2020-06-16,"13,027.50","12,887.50","13,032.50","12,840.00",-,1.48%
2020-06-15,"12,837.50","12,702.50","12,867.50","12,467.50",-,1.02%
2020-06-12,"12,707.50","12,660.00","12,827.50","12,535.00",-,0.49%
