Date,Price,Open,High,Low,Vol.,Change %
2021-04-01,163.68,163.68,163.68,163.68,-,-1.93%
2021-03-31,166.9,166.9,166.9,166.9,-,-0.05%
2021-03-30,166.99,166.99,166.99,166.99,-,0.01%
2021-03-29,166.97,166.97,166.97,166.97,-,0.05%
2021-03-26,166.89,166.89,166.89,166.89,-,-0.10%
2021-03-25,167.05,167.05,167.05,167.05,-,-0.17%
2021-03-24,167.34,167.34,167.34,167.34,-,0.20%
2021-03-23,167.01,167.01,167.01,167.01,-,-0.22%
2021-03-22,167.37,167.37,167.37,167.37,-,-0.38%
2021-03-19,168,168,168,168,-,-0.12%
2021-03-18,168.21,168.21,168.21,168.21,0.08K,0.00%
2021-03-17,168.21,168.21,168.21,168.21,-,-0.03%
2021-03-16,168.26,168.26,168.26,168.26,-,0.00%
2021-03-15,168.26,168.26,168.26,168.26,-,0.00%
2021-03-12,168.26,168.26,168.26,168.26,-,-1.76%
2021-03-11,171.28,171.28,171.28,171.28,-,1.69%
2021-03-10,168.44,168.44,168.44,168.44,-,0.01%
2021-03-09,168.43,168.43,168.43,168.43,0.03K,-2.96%
2021-03-08,173.56,173.56,173.56,173.56,-,0.25%
2021-03-05,173.12,173.12,173.12,173.12,-,-1.04%
2021-03-04,174.94,174.94,174.94,174.94,-,0.47%
2021-03-03,174.12,174.12,174.12,174.12,-,0.55%
2021-03-02,173.16,173.16,173.16,173.16,-,0.83%
2021-03-01,171.74,171.74,171.74,171.74,-,3.70%
2021-02-26,165.61,165.61,165.61,165.61,-,0.36%
2021-02-25,165.02,165.02,165.02,165.02,-,0.30%
2021-02-24,164.53,164.53,164.53,164.53,-,0.23%
2021-02-23,164.16,164.16,164.16,164.16,-,0.18%
2021-02-22,163.87,163.87,163.87,163.87,-,-0.12%
2021-02-19,164.07,164.07,164.07,164.07,-,-0.32%
2021-02-18,164.59,164.59,164.59,164.59,-,1.61%
2021-02-17,161.99,161.99,161.99,161.99,-,0.61%
2021-02-16,161,161,161,161,0.07K,0.85%
2021-02-12,159.65,159.65,159.65,159.65,-,-0.27%
2021-02-11,160.08,160.08,160.08,160.08,-,0.21%
2021-02-10,159.74,159.74,159.74,159.74,-,1.01%
2021-02-09,158.15,158.15,158.15,158.15,-,1.31%
2021-02-08,156.1,156.1,156.1,156.1,-,1.43%
2021-02-05,153.9,153.9,153.9,153.9,0.01K,-0.92%
2021-02-04,155.33,155.33,155.33,155.33,-,3.00%
2021-02-03,150.81,150.81,150.81,150.81,-,1.61%
2021-02-02,148.42,148.42,148.42,148.42,-,-4.08%
2021-02-01,154.74,154.74,154.74,154.74,-,-7.96%
2021-01-29,168.13,168.13,168.13,168.13,-,-0.30%
2021-01-28,168.63,168.63,168.63,168.63,-,-0.37%
2021-01-27,169.26,169.26,169.26,169.26,-,-0.15%
2021-01-26,169.52,169.52,169.52,169.52,-,-0.15%
2021-01-25,169.78,169.78,169.78,169.78,-,-0.02%
2021-01-22,169.82,169.82,169.82,169.82,0.02K,-0.09%
2021-01-21,169.98,169.98,169.98,169.98,-,0.08%
2021-01-20,169.85,169.85,169.85,169.85,-,-0.11%
2021-01-19,170.03,170.03,170.03,170.03,-,0.04%
2021-01-15,169.97,169.97,169.97,169.97,-,0.10%
2021-01-14,169.8,169.8,169.8,169.8,-,0.17%
2021-01-13,169.51,169.51,169.51,169.51,-,0.11%
2021-01-12,169.33,169.33,169.33,169.33,-,0.20%
2021-01-11,168.99,168.99,168.99,168.99,0.04K,-0.31%
2021-01-08,169.52,169.52,169.52,169.52,-,0.12%
2021-01-07,169.31,169.31,169.31,169.31,-,1.53%
2021-01-06,166.76,166.76,166.76,166.76,-,0.41%
2021-01-05,166.08,166.08,166.08,166.08,0.05K,1.31%
2021-01-04,163.93,164.44,164.44,164.44,0.00K,5.19%
2020-12-31,155.84,155.84,155.84,155.84,-,0.09%
2020-12-30,155.7,155.7,155.7,155.7,-,0.08%
2020-12-29,155.57,155.57,155.57,155.57,-,0.14%
2020-12-28,155.35,155.35,155.35,155.35,-,0.21%
2020-12-24,155.02,155.02,155.02,155.02,-,0.34%
2020-12-23,154.5,154.5,154.5,154.5,-,0.01%
2020-12-22,154.49,154.49,154.49,154.49,-,-0.40%
2020-12-21,155.11,155.11,155.11,155.11,-,1.72%
2020-12-18,152.49,152.49,152.49,152.49,-,0.74%
2020-12-17,151.37,151.37,151.37,151.37,-,0.41%
2020-12-16,150.75,150.75,150.75,150.75,-,0.29%
2020-12-15,150.31,150.31,150.31,150.31,-,0.47%
2020-12-14,149.6,149.6,149.6,149.6,-,-1.59%
2020-12-11,152.02,152.02,152.02,152.02,-,0.88%
2020-12-10,150.7,150.7,150.7,150.7,-,3.02%
2020-12-09,146.28,146.28,146.28,146.28,-,0.85%
2020-12-08,145.04,145.04,145.04,145.04,-,0.48%
2020-12-07,144.34,144.34,144.34,144.34,-,1.99%
2020-12-04,141.53,141.53,141.53,141.53,-,4.33%
2020-12-03,135.66,135.66,135.66,135.66,-,0.82%
2020-12-02,134.56,134.56,134.56,134.56,0.04K,2.87%
2020-12-01,130.81,130.81,130.81,130.81,-,4.97%
2020-11-30,124.62,124.62,124.62,124.62,-,0.30%
2020-11-27,124.25,124.25,124.25,124.25,-,0.50%
2020-11-25,123.63,123.63,123.63,123.63,-,0.19%
2020-11-24,123.4,123.4,123.4,123.4,-,0.18%
2020-11-23,123.18,123.18,123.18,123.18,-,-0.14%
2020-11-20,123.35,123.35,123.35,123.35,-,0.42%
2020-11-19,122.84,122.84,122.84,122.84,-,0.45%
2020-11-18,122.29,122.29,122.29,122.29,-,0.24%
2020-11-17,122,122,122,122,-,0.64%
2020-11-16,121.22,121.22,121.22,121.22,0.08K,0.35%
2020-11-13,120.8,120.8,120.8,120.8,-,-0.17%
2020-11-12,121,121,121,121,-,-0.49%
2020-11-11,121.59,121.59,121.59,121.59,-,1.07%
2020-11-10,120.3,120.3,120.3,120.3,-,0.38%
2020-11-09,119.84,119.84,119.84,119.84,-,1.88%
2020-11-06,117.63,117.63,117.63,117.63,-,0.61%
2020-11-05,116.92,116.92,116.92,116.92,0.02K,0.07%
2020-11-04,116.84,116.84,116.84,116.84,-,0.32%
2020-11-03,116.47,116.47,116.47,116.47,-,-1.04%
2020-11-02,117.69,117.69,117.69,117.69,-,-2.08%
2020-10-30,120.19,120.19,120.19,120.19,-,-0.07%
2020-10-29,120.28,120.28,120.28,120.28,-,-0.14%
2020-10-28,120.45,120.45,120.45,120.45,-,-0.15%
2020-10-27,120.63,120.63,120.63,120.63,-,-0.10%
2020-10-26,120.75,120.75,120.75,120.75,-,-0.22%
2020-10-23,121.02,121.02,121.02,121.02,-,-0.26%
2020-10-22,121.34,121.34,121.34,121.34,-,-0.18%
2020-10-21,121.56,121.56,121.56,121.56,-,0.04%
2020-10-20,121.51,121.51,121.51,121.51,-,-0.02%
2020-10-19,121.53,121.53,121.53,121.53,-,0.07%
2020-10-16,121.44,121.44,121.44,121.44,-,0.26%
2020-10-15,121.13,121.13,121.13,121.13,-,-0.29%
2020-10-14,121.48,121.48,121.48,121.48,0.08K,-0.78%
2020-10-13,122.43,122.43,122.43,122.43,-,-0.67%
2020-10-12,123.25,123.25,123.25,123.25,-,-0.19%
2020-10-09,123.49,123.49,123.49,123.49,-,0.84%
2020-10-08,122.46,122.46,122.46,122.46,-,0.45%
2020-10-07,121.91,121.91,121.91,121.91,-,0.06%
2020-10-06,121.84,121.84,121.84,121.84,-,0.67%
2020-10-05,121.03,121.03,121.03,121.03,-,0.36%
2020-10-02,120.6,120.6,120.6,120.6,-,-0.68%
2020-10-01,121.43,121.43,121.43,121.43,-,-2.06%
2020-09-30,123.98,123.98,123.98,123.98,-,-0.03%
2020-09-29,124.02,124.02,124.02,124.02,-,-0.15%
2020-09-28,124.21,124.21,124.21,124.21,-,0.32%
2020-09-25,123.81,123.81,123.81,123.81,-,-0.13%
2020-09-24,123.97,123.97,123.97,123.97,-,-0.66%
2020-09-23,124.79,124.79,124.79,124.79,-,-0.75%
2020-09-22,125.73,125.73,125.73,125.73,-,-0.22%
2020-09-21,126.01,126.01,126.01,126.01,-,-0.85%
2020-09-18,127.09,127.09,127.09,127.09,-,0.39%
2020-09-17,126.59,126.59,126.59,126.59,-,0.46%
2020-09-16,126.01,126.01,126.01,126.01,-,-1.56%
2020-09-15,128.01,128.01,128.01,128.01,-,-0.66%
2020-09-14,128.86,128.86,128.86,128.86,-,1.12%
2020-09-11,127.43,127.43,127.43,127.43,-,0.52%
2020-09-10,126.77,126.77,126.77,126.77,-,-0.01%
2020-09-09,126.78,126.78,126.78,126.78,-,-0.98%
2020-09-08,128.03,128.03,128.03,128.03,-,0.39%
2020-09-04,127.53,127.53,127.53,127.53,-,-0.66%
2020-09-03,128.38,128.38,128.38,128.38,-,1.84%
2020-09-02,126.06,126.06,126.06,126.06,-,1.92%
2020-09-01,123.68,123.68,123.68,123.68,-,0.94%
2020-08-31,122.53,122.53,122.53,122.53,-,0.07%
2020-08-28,122.45,122.45,122.45,122.45,-,0.05%
2020-08-27,122.39,122.39,122.39,122.39,-,-0.06%
2020-08-26,122.46,122.46,122.46,122.46,-,0.10%
2020-08-25,122.34,122.34,122.34,122.34,-,-0.19%
2020-08-24,122.57,122.57,122.57,122.57,-,-0.18%
2020-08-21,122.79,122.79,122.79,122.79,-,-0.77%
2020-08-20,123.74,123.74,123.74,123.74,-,1.04%
2020-08-19,122.47,122.47,122.47,122.47,-,-0.23%
2020-08-18,122.75,122.75,122.75,122.75,-,1.90%
2020-08-17,120.46,120.46,120.46,120.46,-,0.27%
2020-08-14,120.14,120.14,120.14,120.14,-,0.23%
2020-08-13,119.86,119.86,119.86,119.86,-,-0.27%
