Date,Price,Open,High,Low,Vol.,Change %
2021-06-30,75.13,75.18,75.6,74.39,15.06K,0.49%
2021-06-29,74.76,74.67,75.51,73.9,94.94K,0.11%
2021-06-28,74.68,75.99,76.6,74.51,142.11K,-1.97%
2021-06-25,76.18,75.54,76.21,74.95,172.41K,0.82%
2021-06-24,75.56,75.3,75.78,74.51,165.05K,0.49%
2021-06-23,75.19,74.75,76.02,74.7,229.04K,0.51%
2021-06-22,74.81,74.88,75.3,74.32,294.72K,-0.12%
2021-06-21,74.9,73.33,74.95,72.98,265.47K,1.89%
2021-06-18,73.51,73,73.76,72.18,231.55K,0.59%
2021-06-17,73.08,73.8,74.5,72.01,336.64K,-1.76%
2021-06-16,74.39,74.26,74.96,73.86,306.09K,0.54%
2021-06-15,73.99,73.03,74.33,72.79,228.62K,1.55%
2021-06-14,72.86,72.7,73.64,72.59,200.72K,0.23%
2021-06-11,72.69,72.41,73.09,71.88,276.48K,0.23%
2021-06-10,72.52,72.03,72.93,70.95,346.58K,0.42%
2021-06-09,72.22,72.17,72.87,71.82,266.37K,0.00%
2021-06-08,72.22,71.42,72.42,70.71,285.23K,1.02%
2021-06-07,71.49,71.82,72.27,71.1,224.33K,-0.56%
2021-06-04,71.89,71.25,72.17,70.73,222.00K,0.81%
2021-06-03,71.31,71.27,71.99,70.66,229.79K,-0.06%
2021-06-02,71.35,70.55,71.48,70.35,221.63K,1.57%
2021-06-01,70.25,69.39,71.34,69.29,302.49K,1.34%
2021-05-31,69.32,68.98,69.82,68.75,80.18K,-0.45%
2021-05-28,69.63,69.69,69.92,69.26,21.26K,0.24%
2021-05-27,69.46,68.78,69.51,68.11,86.51K,0.86%
2021-05-26,68.87,68.55,69.17,68.02,134.62K,0.32%
2021-05-25,68.65,68.47,68.9,67.83,183.13K,0.28%
2021-05-24,68.46,66.72,68.64,66.46,227.25K,3.04%
2021-05-21,66.44,65.22,66.94,64.57,257.64K,2.04%
2021-05-20,65.11,66.63,67.17,64.8,388.16K,-2.33%
2021-05-19,66.66,68.41,68.46,65.3,386.89K,-2.98%
2021-05-18,68.71,69.61,70.24,67.28,378.02K,-1.08%
2021-05-17,69.46,68.92,69.62,68.18,230.78K,1.09%
2021-05-14,68.71,67,68.89,66.5,286.13K,2.48%
2021-05-13,67.05,68.88,69.04,66.48,312.00K,-3.27%
2021-05-12,69.32,68.78,69.9,68.18,310.30K,1.12%
2021-05-11,68.55,68.29,68.75,67.13,321.86K,0.34%
2021-05-10,68.32,68.74,69.2,67.41,265.60K,0.06%
2021-05-07,68.28,68.26,68.65,67.39,262.58K,0.28%
2021-05-06,68.09,68.47,69.37,67.93,273.28K,-1.26%
2021-05-05,68.96,69.35,69.95,68.35,283.73K,0.12%
2021-05-04,68.88,67.75,69.5,67.37,249.64K,1.95%
2021-05-03,67.56,66.7,67.82,66.1,148.71K,0.46%
2021-04-30,67.25,68.33,68.4,67.06,14.84K,-1.91%
2021-04-29,68.56,67.18,68.95,67.13,91.52K,1.92%
2021-04-28,67.27,66.58,67.85,66.13,148.95K,1.28%
2021-04-27,66.42,65.76,66.8,65.66,222.92K,1.17%
2021-04-26,65.65,66.1,66.26,64.57,257.58K,-0.70%
2021-04-23,66.11,65.8,66.3,65.16,187.90K,1.09%
2021-04-22,65.4,65.13,65.83,64.58,242.47K,0.12%
2021-04-21,65.32,66.22,66.52,64.96,260.88K,-1.88%
2021-04-20,66.57,67.2,68.08,65.51,328.24K,-0.72%
2021-04-19,67.05,66.7,67.23,66.17,193.81K,0.42%
2021-04-16,66.77,66.86,67.38,66.44,212.20K,-0.25%
2021-04-15,66.94,66.38,67.03,65.95,240.31K,0.54%
2021-04-14,66.58,64.01,66.9,63.88,323.04K,4.57%
2021-04-13,63.67,63.24,64.19,63.18,242.41K,0.62%
2021-04-12,63.28,63.03,64.31,62.41,257.84K,0.52%
2021-04-09,62.95,63.28,63.49,62.57,216.24K,-0.40%
2021-04-08,63.2,63.02,63.43,62.38,265.18K,0.06%
2021-04-07,63.16,62.6,63.55,61.6,321.39K,0.67%
2021-04-06,62.74,62.32,64.28,62.08,307.87K,0.95%
2021-04-05,62.15,64.57,64.81,61.25,231.78K,-4.18%
2021-04-01,64.86,63.12,65.17,62.38,480.37K,2.08%
2021-03-31,63.54,64.13,64.79,63.53,9.70K,-0.94%
2021-03-30,64.14,65.2,65.41,63.52,74.36K,-1.29%
2021-03-29,64.98,64.58,65.46,63.13,91.75K,0.63%
2021-03-26,64.57,62.01,64.89,61.85,147.74K,4.23%
2021-03-25,61.95,63.99,64.19,60.98,202.58K,-3.82%
2021-03-24,64.41,60.5,64.57,60.47,255.12K,5.95%
2021-03-23,60.79,64.3,64.3,60.27,392.60K,-5.93%
2021-03-22,64.62,64.53,65.12,63.45,236.34K,0.14%
2021-03-19,64.53,62.99,64.95,62.07,446.11K,1.98%
2021-03-18,63.28,67.77,68.15,61.45,516.08K,-6.94%
2021-03-17,68,68.39,68.89,66.96,309.76K,-0.57%
2021-03-16,68.39,68.81,68.94,67.36,248.99K,-0.71%
2021-03-15,68.88,69.08,70.03,67.82,262.60K,-0.49%
2021-03-12,69.22,69.59,69.9,69.03,251.54K,-0.59%
2021-03-11,69.63,68.45,69.84,67.99,289.61K,2.55%
2021-03-10,67.9,67.46,68.42,66.5,361.94K,0.56%
2021-03-09,67.52,68.13,69.33,67.12,302.61K,-1.06%
2021-03-08,68.24,69.97,71.38,67.8,352.59K,-1.61%
2021-03-05,69.36,67.16,69.69,66.67,361.76K,3.93%
2021-03-04,66.74,64.1,67.75,63.33,510.68K,4.17%
2021-03-03,64.07,62.38,64.7,62.38,341.67K,2.19%
2021-03-02,62.7,63.12,64.13,62.38,367.12K,-1.55%
2021-03-01,63.69,64.85,65.93,63.17,291.91K,-3.69%
