Date,Price,Open,High,Low,Vol.,Change %
132,2011-05-06,169.3,169.3,169.3,169.3,-,-1.86%
133,2011-05-09,168.0,168.0,168.0,168.0,-,-0.77%
134,2011-05-10,172.5,172.5,172.5,172.5,-,2.68%
135,2011-05-11,170.1,170.1,170.1,170.1,-,-1.39%
136,2011-05-12,168.8,168.8,168.8,168.8,-,-0.76%
137,2011-05-13,169.6,169.6,169.6,169.6,-,0.47%
138,2011-05-16,168.5,168.5,168.5,168.5,-,-0.65%
139,2011-05-17,167.8,167.8,167.8,167.8,-,-0.42%
140,2011-05-18,167.5,167.5,167.5,167.5,-,-0.18%
141,2011-05-19,164.6,164.6,164.6,164.6,-,-1.73%
142,2011-05-20,164.1,164.1,164.1,164.1,-,-0.30%
143,2011-05-23,163.5,163.5,163.5,163.5,-,-0.37%
144,2011-05-24,165.4,165.4,165.4,165.4,-,1.16%
145,2011-05-25,166.5,166.5,166.5,166.5,-,0.67%
146,2011-05-26,165.0,165.0,165.0,165.0,-,-0.90%
147,2011-05-27,165.7,165.7,165.7,165.7,-,0.42%
148,2011-05-31,168.6,168.6,168.6,168.6,-,1.75%
149,2011-06-01,168.2,168.2,168.2,168.2,-,-0.24%
150,2011-06-02,166.9,166.9,166.9,166.9,-,-0.77%
151,2011-06-03,168.3,168.3,168.3,168.3,-,0.84%
152,2011-06-06,171.3,171.3,171.3,171.3,-,1.78%
153,2011-06-07,172.8,172.8,172.8,172.8,-,0.88%
154,2011-06-08,172.4,172.4,172.4,172.4,-,-0.23%
155,2011-06-09,172.8,172.8,172.8,172.8,-,0.23%
156,2011-06-10,172.3,172.3,172.3,172.3,-,-0.29%
157,2011-06-13,170.2,170.2,170.2,170.2,-,-1.22%
158,2011-06-14,170.3,170.3,170.3,170.3,-,0.06%
159,2011-06-15,171.0,171.0,171.0,171.0,-,0.41%
160,2011-06-16,169.0,169.0,169.0,169.0,-,-1.17%
161,2011-06-17,166.6,166.6,166.6,166.6,-,-1.42%
162,2011-06-20,164.3,164.3,164.3,164.3,-,-1.38%
163,2011-06-21,164.2,164.2,164.2,164.2,-,-0.06%
164,2011-06-22,165.0,165.0,165.0,165.0,-,0.49%
165,2011-06-23,166.0,166.0,166.0,166.0,-,0.61%
166,2011-06-24,165.0,165.0,165.0,165.0,-,-0.60%
167,2011-06-27,164.1,164.1,164.1,164.1,-,-0.55%
168,2011-06-28,164.3,164.3,164.3,164.3,-,0.12%
169,2011-06-29,164.9,164.9,164.9,164.9,-,0.37%
170,2011-06-30,164.0,164.0,164.0,164.0,-,-0.55%
171,2011-07-01,163.9,163.9,163.9,163.9,-,-0.06%
172,2011-07-05,170.2,170.2,170.2,170.2,-,3.84%
173,2011-07-06,170.2,170.2,170.2,170.2,-,0.00%
174,2011-07-07,169.7,169.7,169.7,169.7,-,-0.29%
175,2011-07-08,168.8,168.8,168.8,168.8,-,-0.53%
176,2011-07-11,169.6,169.6,169.6,169.6,-,0.47%
177,2011-07-12,171.5,171.5,171.5,171.5,-,1.12%
178,2011-07-13,172.4,172.4,172.4,172.4,-,0.52%
179,2011-07-14,172.2,172.2,172.2,172.2,-,-0.12%
180,2011-07-15,171.6,171.6,171.6,171.6,-,-0.35%
181,2011-07-18,172.0,172.0,172.0,172.0,-,0.23%
182,2011-07-19,172.3,172.3,172.3,172.3,-,0.17%
183,2011-07-20,172.4,172.4,172.4,172.4,-,0.06%
184,2011-07-21,172.5,172.5,172.5,172.5,-,0.06%
185,2011-07-22,172.6,172.6,172.6,172.6,-,0.06%
