Date,Price,Open,High,Low,Vol.,Change %
180,2010-09-27,585,585,585,585,-,0.00%
181,2010-09-28,585,585,585,585,-,0.00%
182,2010-09-29,595,595,595,595,-,1.71%
183,2010-09-30,590,590,590,590,-,-0.84%
184,2010-10-01,590,590,590,590,-,0.00%
185,2010-10-04,590,590,590,590,-,0.00%
186,2010-10-05,580,570,570,570,0.01K,-1.69%
187,2010-10-06,570,570,570,570,-,-1.72%
188,2010-10-07,570,570,570,570,-,0.00%
189,2010-10-08,560,560,560,560,-,-1.75%
190,2010-10-11,560,560,560,560,-,0.00%
191,2010-10-12,560,560,560,560,-,0.00%
192,2010-10-13,565,565,565,565,-,0.89%
193,2010-10-14,565,565,565,565,-,0.00%
194,2010-10-15,565,565,565,565,-,0.00%
195,2010-10-18,565,565,565,565,-,0.00%
196,2010-10-19,565,565,565,565,-,0.00%
197,2010-10-20,562,562,562,562,-,-0.53%
198,2010-10-21,562,562,562,562,-,0.00%
199,2010-10-22,562,562,562,562,-,0.00%
200,2010-10-25,562,562,562,562,-,0.00%
201,2010-10-26,562,562,562,562,-,0.00%
202,2010-10-27,555,555,555,555,-,-1.25%
203,2010-10-28,555,555,555,555,-,0.00%
204,2010-10-29,555,555,555,555,-,0.00%
205,2010-11-01,555,555,555,555,-,0.00%
206,2010-11-02,555,555,555,555,-,0.00%
207,2010-11-03,555,555,555,555,-,0.00%
208,2010-11-04,545,545,545,545,-,-1.80%
209,2010-11-05,545,545,545,545,0.10K,0.00%
210,2010-11-08,545,540,540,540,0.01K,0.00%
211,2010-11-09,550,550,550,550,-,0.92%
212,2010-11-10,545,545,545,545,-,-0.91%
213,2010-11-11,540,540,540,540,-,-0.92%
214,2010-11-12,540,540,540,540,-,0.00%
215,2010-11-15,540,540,540,540,-,0.00%
216,2010-11-16,540,540,540,540,-,0.00%
217,2010-11-17,530,530,530,530,-,-1.85%
218,2010-11-18,530,530,530,530,-,0.00%
219,2010-11-19,530,530,530,530,-,0.00%
220,2010-11-22,530,530,530,530,-,0.00%
221,2010-11-23,530,530,530,530,-,0.00%
222,2010-11-24,565,565,565,565,-,6.60%
223,2010-11-26,565,565,565,565,-,0.00%
224,2010-11-29,565,565,565,565,-,0.00%
225,2010-11-30,565,565,565,565,-,0.00%
226,2010-12-01,565,565,565,565,-,0.00%
227,2010-12-02,565,565,565,565,-,0.00%
228,2010-12-03,565,565,565,565,-,0.00%
229,2010-12-06,565,565,565,565,-,0.00%
230,2010-12-07,565,565,565,565,-,0.00%
231,2010-12-08,580,580,580,580,-,2.65%
232,2010-12-09,580,580,580,580,-,0.00%
233,2010-12-10,590,590,590,590,0.05K,1.72%
234,2010-12-13,590,590,590,590,-,0.00%
235,2010-12-14,590,590,590,590,-,0.00%
236,2010-12-15,596,596,595,596,-,1.02%
237,2010-12-16,600,600,600,600,-,0.67%
238,2010-12-17,600,600,600,600,-,0.00%
239,2010-12-20,600,600,600,600,-,0.00%
240,2010-12-21,600,600,600,600,-,0.00%
241,2010-12-22,610,610,610,610,-,1.67%
242,2010-12-23,610,610,610,610,-,0.00%
243,2010-12-27,610,610,610,610,-,0.00%
244,2010-12-28,610,610,615,610,-,0.00%
245,2010-12-29,690,690,690,690,-,13.11%
246,2010-12-30,690,690,690,690,-,0.00%
247,2010-12-31,690,690,690,690,-,0.00%
248,2011-01-03,690,690,690,690,-,0.00%
249,2011-01-04,690,690,690,690,-,0.00%
250,2011-01-05,700,700,700,700,-,1.45%
251,2011-01-06,710,725,725,725,0.05K,1.43%
252,2011-01-07,720,720,720,720,-,1.41%
253,2011-01-10,720,720,725,720,-,0.00%
254,2011-01-11,724,724,724,724,-,0.56%
255,2011-01-12,724,724,730,724,-,0.00%
256,2011-01-13,724,724,724,724,-,0.00%
257,2011-01-14,724,724,724,724,-,0.00%
258,2011-01-18,724,724,724,724,-,0.00%
259,2011-01-19,724,724,725,724,-,0.00%
260,2011-01-20,724,724,724,724,-,0.00%
261,2011-01-21,727,727,727,727,-,0.41%
262,2011-01-24,727,727,727,727,-,0.00%
263,2011-01-25,727,727,727,727,-,0.00%
264,2011-01-26,790,790,790,790,-,8.67%
265,2011-01-27,765,765,765,765,0.03K,-3.16%
