Date,Price,Open,High,Low,Vol.,Change %
40,2010-03-03,"1,142.70","1,133.70","1,145.00","1,133.70",0.17K,0.51%
41,2010-03-04,"1,132.60","1,134.70","1,139.00","1,128.60",0.12K,-0.88%
42,2010-03-05,"1,134.80","1,131.30","1,139.70","1,128.00",0.13K,0.19%
43,2010-03-08,"1,123.60","1,134.60","1,136.30","1,119.30",0.02K,-0.99%
44,2010-03-09,"1,122.00","1,123.20","1,124.00","1,113.10",0.03K,-0.14%
45,2010-03-10,"1,107.80","1,127.10","1,127.10","1,106.90",0.02K,-1.27%
46,2010-03-11,"1,108.00","1,107.50","1,109.00","1,101.20",0.05K,0.02%
47,2010-03-12,"1,101.50","1,117.40","1,117.40","1,099.90",0.14K,-0.59%
48,2010-03-15,"1,105.10","1,104.20","1,107.10","1,101.40",0.02K,0.33%
49,2010-03-16,"1,122.20","1,114.50","1,127.00","1,114.50",0.07K,1.55%
50,2010-03-17,"1,124.00","1,127.80","1,131.40","1,118.00",0.03K,0.16%
51,2010-03-18,"1,127.40","1,121.10","1,127.80","1,121.10",0.09K,0.30%
52,2010-03-19,"1,107.40","1,124.20","1,124.20","1,104.20",0.05K,-1.77%
53,2010-03-22,"1,099.30","1,102.10","1,102.40","1,094.80",0.07K,-0.73%
54,2010-03-23,"1,103.50","1,094.80","1,104.70","1,094.80",0.02K,0.38%
55,2010-03-24,"1,088.60","1,092.40","1,092.40","1,085.50",0.01K,-1.35%
56,2010-03-25,"1,092.70","1,092.40","1,092.40","1,085.50",0.01K,0.38%
57,2010-03-26,"1,104.20","1,098.40","1,098.40","1,092.30",0.01K,1.05%
58,2010-03-29,"1,110.30","1,110.70","1,110.70","1,109.40",0.02K,0.55%
59,2010-03-30,"1,104.50","1,109.70","1,112.90","1,101.10",56.53K,-0.52%
60,2010-03-31,"1,113.30","1,103.10","1,118.70","1,102.00",5.95K,0.80%
61,2010-04-01,"1,125.10","1,112.90","1,127.70","1,111.30",0.57K,1.06%
62,2010-04-05,"1,132.90","1,122.30","1,133.30","1,119.90",0.57K,0.69%
63,2010-04-06,"1,135.10","1,130.80","1,138.50","1,122.70",2.49K,0.19%
64,2010-04-07,"1,152.30","1,135.80","1,153.00","1,132.60",1.34K,1.52%
65,2010-04-08,"1,152.20","1,146.40","1,152.30","1,144.00",0.25K,-0.01%
66,2010-04-09,"1,161.10","1,150.70","1,164.80","1,150.50",0.51K,0.77%
67,2010-04-12,"1,161.60","1,168.50","1,169.00","1,154.60",0.48K,0.04%
68,2010-04-13,"1,152.80","1,155.50","1,157.00","1,145.00",0.28K,-0.76%
69,2010-04-14,"1,159.00","1,151.20","1,160.60","1,151.20",0.16K,0.54%
70,2010-04-15,"1,159.70","1,157.50","1,159.80","1,151.00",0.18K,0.06%
71,2010-04-16,"1,136.30","1,159.60","1,160.00","1,130.40",0.48K,-2.02%
72,2010-04-19,"1,135.20","1,133.90","1,137.10","1,124.00",0.15K,-0.10%
73,2010-04-20,"1,138.60","1,136.40","1,145.80","1,136.00",0.08K,0.30%
74,2010-04-21,"1,148.20","1,142.60","1,150.00","1,138.40",0.07K,0.84%
75,2010-04-22,"1,142.30","1,144.00","1,144.00","1,133.60",0.21K,-0.51%
76,2010-04-23,"1,153.10","1,139.50","1,154.60","1,139.10",0.04K,0.95%
77,2010-04-26,"1,153.50","1,160.10","1,160.10","1,151.40",0.11K,0.03%
78,2010-04-27,"1,161.70","1,152.80","1,170.70","1,148.60",0.21K,0.71%
79,2010-04-28,"1,171.30","1,166.20","1,173.90","1,161.10",0.11K,0.83%
80,2010-04-29,"1,168.40","1,166.80","1,171.20","1,164.00",0.17K,-0.25%
81,2010-04-30,"1,180.10","1,170.00","1,181.30","1,170.00",0.15K,1.00%
82,2010-05-03,"1,182.70","1,178.60","1,187.50","1,177.30",0.09K,0.22%
83,2010-05-04,"1,168.60","1,181.00","1,191.80","1,168.30",0.09K,-1.19%
84,2010-05-05,"1,174.60","1,167.50","1,177.20","1,159.20",0.10K,0.51%
85,2010-05-06,"1,196.90","1,175.90","1,210.60","1,175.90",0.08K,1.90%
86,2010-05-07,"1,210.00","1,205.00","1,210.80","1,194.60",0.11K,1.09%
87,2010-05-10,"1,200.40","1,202.00","1,203.80","1,189.20",0.12K,-0.79%
88,2010-05-11,"1,219.90","1,204.20","1,233.50","1,201.50",0.20K,1.62%
89,2010-05-12,"1,242.70","1,230.60","1,246.50","1,227.10",0.21K,1.87%
90,2010-05-13,"1,228.80","1,235.30","1,240.00","1,228.70",0.04K,-1.12%
91,2010-05-14,"1,227.40","1,236.20","1,246.20","1,217.50",0.10K,-0.11%
92,2010-05-17,"1,227.70","1,233.30","1,235.90","1,225.20",0.05K,0.02%
93,2010-05-18,"1,214.30","1,214.10","1,216.80","1,208.20",0.07K,-1.09%
94,2010-05-19,"1,192.60","1,224.10","1,226.80","1,191.20",0.08K,-1.79%
95,2010-05-20,"1,187.80","1,179.50","1,191.80","1,179.40",0.30K,-0.40%
96,2010-05-21,"1,175.70","1,182.40","1,182.40","1,177.00",0.18K,-1.02%
97,2010-05-24,"1,193.80","1,184.00","1,191.80","1,184.00",0.01K,1.54%
98,2010-05-25,"1,197.80","1,195.60","1,200.00","1,192.10",0.01K,0.34%
99,2010-05-26,"1,213.30","1,213.30","1,213.30","1,213.30",0.00K,1.29%
100,2010-05-27,"1,211.90","1,211.70","1,218.50","1,205.40",109.43K,-0.12%
101,2010-05-28,"1,212.20","1,210.40","1,214.80","1,201.10",12.90K,0.02%
102,2010-06-01,"1,224.80","1,217.00","1,228.20","1,209.30",4.55K,1.04%
103,2010-06-02,"1,220.60","1,224.90","1,226.20","1,213.00",2.80K,-0.34%
