Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,1116.560059,1133.869995,1116.560059,1132.98999,1132.98999,3991400000
1,2010-01-05,1132.660034,1136.630005,1129.660034,1136.52002,1136.52002,2491020000
2,2010-01-06,1135.709961,1139.189941,1133.949951,1137.140015,1137.140015,4972660000
3,2010-01-07,1136.27002,1142.459961,1131.319946,1141.689941,1141.689941,5270680000
4,2010-01-08,1140.52002,1145.390015,1136.219971,1144.97998,1144.97998,4389590000
5,2010-01-11,1145.959961,1149.73999,1142.02002,1146.97998,1146.97998,4255780000
6,2010-01-12,1143.810059,1143.810059,1131.77002,1136.219971,1136.219971,4716160000
7,2010-01-13,1137.310059,1148.400024,1133.180054,1145.680054,1145.680054,4170360000
8,2010-01-14,1145.680054,1150.410034,1143.800049,1148.459961,1148.459961,3915200000
9,2010-01-15,1147.719971,1147.77002,1131.390015,1136.030029,1136.030029,4758730000
10,2010-01-19,1136.030029,1150.449951,1135.77002,1150.22998,1150.22998,4724830000
11,2010-01-20,1147.949951,1147.949951,1129.25,1138.040039,1138.040039,4810560000
12,2010-01-21,1138.680054,1141.579956,1114.839966,1116.47998,1116.47998,6874290000
13,2010-01-22,1115.48999,1115.48999,1090.180054,1091.76001,1091.76001,6208650000
14,2010-01-25,1092.400024,1102.969971,1092.400024,1096.780029,1096.780029,4481390000
15,2010-01-26,1095.800049,1103.689941,1089.859985,1092.170044,1092.170044,4731910000
16,2010-01-27,1091.939941,1099.51001,1083.109985,1097.5,1097.5,5319120000
17,2010-01-28,1096.930054,1100.219971,1078.459961,1084.530029,1084.530029,5452400000
18,2010-01-29,1087.609985,1096.449951,1071.589966,1073.869995,1073.869995,5412850000
19,2010-02-01,1073.890015,1089.380005,1073.890015,1089.189941,1089.189941,4077610000
20,2010-02-02,1090.050049,1104.72998,1087.959961,1103.319946,1103.319946,4749540000
21,2010-02-03,1100.670044,1102.719971,1093.969971,1097.280029,1097.280029,4285450000
22,2010-02-04,1097.25,1097.25,1062.780029,1063.109985,1063.109985,5859690000
