Date,Price,Open,High,Low,Vol.,Change %
89,2010-05-26,"21,056.00","21,056.00","21,056.00","21,056.00",-,-0.38%
90,2010-05-27,"21,741.00","21,741.00","21,741.00","21,741.00",-,3.25%
91,2010-05-28,"21,291.00","21,291.00","21,291.00","21,291.00",-,-2.07%
92,2010-06-01,"20,437.00","20,437.00","20,437.00","20,437.00",-,-4.01%
93,2010-06-02,"19,586.00","19,586.00","19,586.00","19,586.00",-,-4.16%
94,2010-06-03,"18,609.00","18,609.00","18,609.00","18,609.00",-,-4.99%
95,2010-06-04,"17,889.00","17,889.00","17,889.00","17,889.00",-,-3.87%
96,2010-06-07,"18,137.00","18,137.00","18,137.00","18,137.00",-,1.39%
97,2010-06-08,"18,412.00","18,412.00","18,412.00","18,412.00",-,1.52%
98,2010-06-09,"19,218.00","19,218.00","19,218.00","19,218.00",-,4.38%
99,2010-06-10,"18,886.00","18,886.00","18,886.00","18,886.00",-,-1.73%
100,2010-06-11,"19,480.00","19,480.00","19,480.00","19,480.00",-,3.15%
101,2010-06-14,"20,230.00","20,230.00","20,230.00","20,230.00",-,3.85%
102,2010-06-17,"19,755.00","19,755.00","19,755.00","19,755.00",-,-2.35%
103,2010-06-18,"19,543.00","19,543.00","19,543.00","19,543.00",-,-1.07%
104,2010-06-21,"19,799.00","19,799.00","19,799.00","19,799.00",-,1.31%
105,2010-06-22,"19,599.00","19,599.00","19,599.00","19,599.00",-,-1.01%
106,2010-06-23,"19,223.00","19,223.00","19,223.00","19,223.00",-,-1.92%
107,2010-06-24,"19,347.00","19,347.00","19,347.00","19,347.00",-,0.65%
108,2010-06-25,"19,697.00","19,697.00","19,697.00","19,697.00",-,1.81%
109,2010-06-28,"20,597.00","20,597.00","20,597.00","20,597.00",-,4.57%
110,2010-06-29,"19,024.00","19,024.00","19,024.00","19,024.00",-,-7.64%
111,2010-06-30,"19,693.00","19,693.00","19,693.00","19,693.00",-,3.52%
112,2010-07-01,"18,947.00","18,947.00","18,947.00","18,947.00",-,-3.79%
113,2010-07-02,"18,747.00","18,747.00","18,747.00","18,747.00",-,-1.06%
114,2010-07-05,"18,620.00","18,620.00","18,620.00","18,620.00",-,-0.68%
115,2010-07-06,"18,845.00","18,845.00","18,845.00","18,845.00",-,1.21%
116,2010-07-07,"19,096.00","19,096.00","19,096.00","19,096.00",-,1.33%
117,2010-07-08,"19,345.00","19,345.00","19,345.00","19,345.00",-,1.30%
118,2010-07-09,"19,445.00","19,445.00","19,445.00","19,445.00",-,0.52%
119,2010-07-12,"19,141.00","19,141.00","19,141.00","19,141.00",-,-1.56%
120,2010-07-13,"19,491.00","19,491.00","19,491.00","19,491.00",-,1.83%
121,2010-07-14,"19,341.00","19,341.00","19,341.00","19,341.00",-,-0.77%
122,2010-07-15,"19,337.00","19,337.00","19,337.00","19,337.00",-,-0.02%
123,2010-07-16,"18,886.00","18,886.00","18,886.00","18,886.00",-,-2.33%
124,2010-07-19,"18,730.00","18,730.00","18,730.00","18,730.00",-,-0.83%
125,2010-07-22,"20,205.00","20,205.00","20,205.00","20,205.00",-,7.88%
126,2010-07-23,"20,303.00","20,303.00","20,303.00","20,303.00",-,0.49%
127,2010-07-26,"20,747.00","20,747.00","20,747.00","20,747.00",-,2.19%
128,2010-07-27,"20,494.00","20,494.00","20,494.00","20,494.00",-,-1.22%
129,2010-07-28,"20,352.00","20,352.00","20,352.00","20,352.00",-,-0.69%
130,2010-07-29,"20,622.00","20,622.00","20,622.00","20,622.00",-,1.33%
