name,lstm_time,gru_time
1301.TW,18.586390733718872,5.151799440383911
1303.TW,6.078143358230591,5.408249139785767
1304.TW,6.132272243499756,5.003129720687866
1305.TW,6.332843542098999,5.262904167175293
1308.TW,6.203364372253418,5.2050628662109375
1309.TW,6.138203859329224,4.935433626174927
1312.TW,6.14785361289978,5.004902601242065
1313.TW,5.970708608627319,4.946615695953369
1314.TW,6.1050944328308105,5.377887487411499
1326.TW,6.280072450637817,5.270416975021362
2002.TW,6.164288282394409,5.295979022979736
2006.TW,6.043882846832275,5.279552936553955
2010.TW,5.938519716262817,5.244095802307129
2014.TW,6.169551134109497,5.350033521652222
2023.TW,6.212023973464966,5.28050422668457
2027.TW,6.1718456745147705,5.0616700649261475
2028.TW,5.722811937332153,4.943926572799683
2030.TW,6.236020088195801,4.893358469009399
2031.TW,6.0174384117126465,5.2090935707092285
2038.TW,6.1393210887908936,5.002763509750366
2603.TW,5.754044771194458,4.911843299865723
2605.TW,5.9413161277771,4.8456666469573975
2606.TW,6.034149169921875,4.840096473693848
2609.TW,5.977081537246704,5.2469751834869385
2615.TW,6.0656421184539795,5.0397279262542725
2617.TW,5.888669013977051,5.029700517654419
2636.TW,6.214291334152222,5.256394624710083
2637.TW,6.149261236190796,5.073111534118652
5608.TW,5.7571330070495605,5.010862112045288
5609.TWO,5.769569396972656,5.197455167770386
